date,temperature,phase voltage,line voltage,harmonic voltage,current,reactive power,frequency,power factor,label
2021-01-11 14:20:00,40.8125,134.15833279999998,232.35833280000003,2.4934898,109.6666672,21694.2,59.92508139999999,0.8695836,0
2021-01-11 14:30:00,40.8125,134.2166688,232.4666672,2.6139326,109.4666664,21639.4,59.9269577,0.8698189,0
2021-01-11 14:40:00,40.875,134.2083344,232.4333328,2.4674482,105.6416672,22067.0,59.9241486,0.8520675000000001,0
2021-01-11 14:50:00,40.75,134.6083328,233.1416688,2.5813804,108.4166672,21892.2,59.92788989999999,0.8645102999999998,0
2021-01-11 15:00:00,40.9375,135.01666399999996,233.8916688,2.6627606,107.0083328,21982.8,59.91947749999999,0.8606481,0
2021-01-11 15:10:00,40.75,134.975,233.7833328,2.6497398,108.95,22853.2,59.9157318,0.8537621999999999,0
2021-01-11 15:20:00,40.625,134.7083328,233.3500016,2.4511722,106.8833328,22519.8,59.9232152,0.851426,0
2021-01-11 15:30:00,40.9375,134.8333328,233.57500160000004,2.587891,107.3583336,22614.8,59.9157317,0.8523299999999999,0
2021-01-11 15:40:00,40.5,134.4249984,232.8666672,2.6204429999999994,110.0,22699.2,59.9054499,0.8569077,0
2021-01-11 15:50:00,40.625,134.35833440000002,232.71666560000003,2.6627606,111.8666664,22679.2,59.9306989,0.8631131,0
2021-01-11 16:00:00,40.875,134.483336,232.9333344,2.6822918000000007,112.7583336,22789.8,59.9035752,0.8638584999999999,0
2021-01-11 16:10:00,41.0625,134.5583312,233.0833328,2.6790366000000003,111.575,22681.2,59.9297636,0.8627096,0
2021-01-11 16:20:00,40.875,134.9583328,233.8000016,2.7473958,112.16666639999998,22876.6,59.9147919,0.8624870000000001,0
2021-01-11 16:30:00,40.75,135.14166559999998,234.10833280000003,2.7148438,111.9999992,22704.2,59.91853329999999,0.8639173000000001,0
2021-01-11 16:40:00,40.875,134.9916672,233.8083344,2.7506509999999995,108.5249992,22086.4,59.934439,0.8631366,0
2021-01-11 16:50:00,40.9375,134.2000016,232.49167040000003,2.7734374,102.9916664,20929.8,59.93350670000001,0.8601442,0
